Sentence,entity_1_name,entity_1_id,entity_1_type,entity_2_name,entity_2_id,entitty_2_type,labels
the receiver operative characteristic curve showed that od >1.,heparin,D006493,Chemical,hit,D013921,Disease,0
the incidence of mood switches seemed not to differ between patients receiving an anticonvulsant and those receiving no mood stabilizer.,ssris,D017367,Chemical,hypomanic,D001714,Disease,0
"laboratory evaluations, including head ct scan, were normal.",ketoconazole,D007654,Chemical,weakness of extremities,D018908,Disease,0
"however,  @CHEMICAL$  has been demonstrated to produce symptoms of anaphylaxis, including hypotension, in sensitive individuals.",acetaminophen,D000082,Chemical,hypotensive,D007022,Disease,0
depression and sexual dysfunction have been related to side effects of topical beta-blockers.,timolol,D013999,Chemical,depressive,D003866,Disease,0
"6), coarctation of the aorta (aor = 2.",sulfonamides,D013449,Chemical,birth defects,D000014,Disease,0
conjunctival blanching and mydriasis were commonly found.,aponidine hydrochloride,C016986,Chemical,entropion,D004774,Disease,0
"simultaneously, we found that these two lemon essential oil components could inhibit acetylcholinesterase activity in vitro using the ellman method.",scopolamine,D012601,Chemical,memory impaired,D008569,Disease,0
"moreover, the coadministration of these frequently used drugs is expected to be especially harmful in this subgroup of patients.",diltiazem,D004110,Chemical,av block,D054537,Disease,0
clinicians should be aware of potential hepatotoxicity with simvastatin-ezetimibe especially in elderly patients and should carefully monitor serum aminotransferase levels when starting therapy and titrating the dosage.,simvastatin 10 mg-ezetimibe 40 mg,C492458,Chemical,fulminant hepatic failure,D017114,Disease,0
"in contrast, mood switches were less frequent in patients receiving lithium (15%, 4/26) than in patients not treated with lithium (44%, 8/18; p = .",antidepressant,D000928,Chemical,manic,D001714,Disease,0
"proteinuria was evident at day 5, peaked at day 7 and persisted to day 27.",pan,D011692,Chemical,proteinuria,D011507,Disease,0
"anticonvulsants), and temperament of the patient, assessed during a normothymic period using the hyperthymia component of the semi-structured affective temperament interview.",ssris,D017367,Chemical,bipolar i,D001714,Disease,0
these findings suggest that the effects of estradiol on seizure threshold and damage may be altered by sex-related differences in the hormonal environment.,lithium,D008094,Chemical,status epilepticus,D013226,Disease,0
"this type of lesion broadens the spectrum of liver injury due to this drug combination, mainly represented by a benign  @DISEASE$..",combination of amoxicillin and clavulanic acid,D019980,Chemical,cholestatic syndrome,D002779,Disease,0
the corresponding urine concentrations amounted to 374 and 554 mg/l.,carbamylcholin,D002217,Chemical,hyperhidrosis,D006945,Disease,0
an accurate autopsy revealed most organs with diffuse petechial haemorrhages.,ciprofloxacin,D002939,Chemical,abdominal pain,D015746,Disease,0
"details of spinal puncture, extension and regression of spinal block, and the times to reach discharge criteria were noted.",prilocaine,D011318,Chemical,transient neurologic symptoms,D009422,Disease,0
"due to the interdependence of risk factors in clinical populations, it is difficult to independently examine factors that may influence the development of lids.",levodopa,D007980,Chemical,dyskinesia,D004409,Disease,0
migraine (20%) was not an uncommon cause of cranial neuropathy although malignancies arising from the reticuloendothelial system or related structures of the head and neck were more frequent (26%).,riboflavin,D012256,Chemical,diseases of peripheral nerves,D010523,Disease,0
clinicians should be aware of potential  @DISEASE$  with  @CHEMICAL$  especially in elderly patients and should carefully monitor serum aminotransferase levels when starting therapy and titrating the dosage.,simvastatin-ezetimibe,C492458,Chemical,hepatotoxicity,D056486,Disease,0
"the effect of long-term  @CHEMICAL$  treatment on heart size after myocardial infarction was evaluated by x-ray in a double-blind study including 241 patients (placebo 126,  @CHEMICAL$  115).",timolol,D013999,Chemical,cardiomegaly,D006332,Disease,0
"conclusions: the combination of paclitaxel, cisplatin, and  @CHEMICAL$  is well tolerated and shows high activity in metastatic nsclc.",gemcitabine,C056507,Chemical,neutropenia,D009503,Disease,0
use of  @CHEMICAL$  in combination with carbamazepine should either be avoided or prescribed only with appropriate adjustment of the carbamazepine dose (usually reduction of the carbamazepine dose by one half).,verapamil,D014700,Chemical,neurotoxicity,D020258,Disease,0
deep forearm venous samples were collected for determination of l-arginine extraction.,hydrocortisone acetate,C021650,Chemical,increases in blood pressure,D006973,Disease,0
"the present study was designed to study the effect of histamine h(3)-receptor ligands on neuroleptic-induced  @DISEASE$,, apomorphine-induced climbing behavior and amphetamine-induced locomotor activities in mice.",haloperidol,D006220,Chemical,catalepsy,D002375,Disease,0
safety and adverse effects associated with  @CHEMICAL$:: multiple outcomes of  @CHEMICAL$: evaluation.,raloxifene,D020849,Chemical,venous thromboembolism,D054556,Disease,0
it was also shown that both products of inducible no synthase and neuronal no synthase activation as well as bradykinin are involved in hyperalgesia produced by vincristine.,streptozotocin,D013311,Chemical,diabetic neuropathy,D003929,Disease,0
"in the absence of the carcinogen, 5-azc given after a two thirds partial hepatectomy, when its incorporation should be maximum, failed to induce any gamma-gt positive foci.",5-azacytidine,D001374,Chemical,initiation induced by carcinogens,D011230,Disease,0
the extent of silver-stained ca3 and ca1 hippocampal neurons was evaluated 2 days after se.,lithium,D008094,Chemical,hippocampal injury,D001930,Disease,0
"the anatomical and aetiological diagnoses of peripheral nerve disease excluding its primary benign and malignant disorders, as seen in 358 nigerians are presented.",riboflavin,D012256,Chemical,peripheral neuropathy,D010523,Disease,0
"eeg recordings were made in sjl, a/j and c57bl/6j mice revealing a close correspondence between electrical activity and behavior.",cocaine,D003042,Chemical,seizure,D012640,Disease,0
vnb was well tolerated and zero instances of who grade 4 nonhematologic toxicity occurred.,vinorelbine,C030852,Chemical,granulocytopenia,D000380,Disease,0
severe and clinically evident  @DISEASE$  was easily corrected by subcutaneous injections (3 times/week for 1 month) of recombinant erythropoietin (rhuepo-beta).,flutamide,D005485,Chemical,anemia,D000740,Disease,0
lovastatin and simvastatin are both effective and well-tolerated agents for lowering elevated levels of serum cholesterol.,niacin,D009525,Chemical,myopathy,D009135,Disease,0
"of these, nearly half (n = 78) had used bzds/rds before admission, and the remainder (n = 86) were non-users.",benzodiazepines,D001569,Chemical,depressive symptoms,D003866,Disease,0
background: concerns about possible risks of switching to mania associated with antidepressants continue to interfere with the establishment of an optimal treatment paradigm for bipolar depression.,ssris,D017367,Chemical,dsm-iv bipolar i,D001714,Disease,0
it is concluded that increases in the spv and the delta down are characteristic of a hypotensive state due to a predominant decrease in preload.,sodium nitroprusside,D009599,Chemical,hypotension,D007022,Disease,0
conjunctival blanching and mydriasis were commonly found.,aponidine hydrochloride,C016986,Chemical,conjunctival blanching,D003229,Disease,0
"this study assessed the ability of ih636 grape seed proanthocyanidin extract (gspe) to prevent acet(@CHEMICAL$)nophen (aap)-induced nephrotoxicity, (@CHEMICAL$)odarone ((@CHEMICAL$))-induced lung toxicity, and doxorubicin (dox)-induced cardiotoxicity in mice.",ami,D000638,Chemical,necrotic,D009336,Disease,0
disulfiram-like syndrome after hydrogen cyanamide professional skin exposure: two case reports in france.,dormex,D003484,Chemical,flushing of the face,D005483,Disease,0
"their ototoxicity is a serious health problem and, as their ototoxic mechanism involves the production of no, we need to assess the use of no inhibitors for the prevention of aminoglycoside-induced sensorineural  @DISEASE$..",gentamicin,D005839,Chemical,hearing loss,D034381,Disease,0
"nitroprusside caused significant decreases in arterial blood pressure and systemic vascular resistance and increases in heart rate, but did not change cardiac output or qs/qt.",nitroprusside,D009599,Chemical,hypotension,D007022,Disease,0
"less frequent toxic effects included thrombocytopenia,  @DISEASE$,, nausea, mild alopecia, phlebitis, and mucositis.",doxorubicin,D004317,Chemical,anemia,D000740,Disease,0
"during a 9-year period, we retrospectively collected 27 neurological events (11%) in as many patients, from 253 children enrolled in the all front-line protocol.",methotrexate,D008727,Chemical,central nervous system (cns) complications,D002493,Disease,0
"administration of graded doses of u-ii (1-10,000 ng/mouse) provoked: (1) a dose-dependent reduction in the number of head dips in the hole-board test; (2) a dose-dependent reduction in the number of entries in the white chamber in the black-and-white compartment test, and in the number of entries in the central platform and open arms in the plus-maze test; and (3) a dose-dependent increase in the duration of immobility in the forced-swimming test and tail suspension test.",apomorphine,D001058,Chemical,penile erection,D010409,Disease,0
"increasing doses of catecholamines, sedatives, and muscle relaxants administered through a central venous catheter were ineffective.",epinephrine,D004837,Chemical,hypertensive,D006973,Disease,0
"formation of these plugs was probably due to extensive tumor necrosis at the level of the walls of the major uterine veins, which resulted in an open exchange of tumor plugs to the vascular spaces; decrease in tumor tissue coherence secondary to chemotherapy may have further contributed to the formation of tumor emboli.",etoposide,D005047,Chemical,pulmonary obstruction,D011655,Disease,0
all of the symptoms were completely resolved over the next 8 hours.,bupivacaine,D002045,Chemical,cauda equina syndrome,D011128,Disease,0
"neutropenia grade greater than or equal to 3 was seen in 15 patients, infections with recovery in 3, and grand mal  @DISEASE$  in 1 patient.",nsc 343499,C042315,Chemical,seizures,D012640,Disease,0
"01), and the degree of hypotension due to  @CHEMICAL$  remained constant until 60 min after its discontinuation.",pge1,D000527,Chemical,hypotensive,D007022,Disease,0
the plasma levels of bnp in all the patients with clinical and subclinical heart failure increased above the normal limit (40 pg/ml) before the detection of clinical or subclinical heart failure by radionuclide angiography.,daunorubicin,D003630,Chemical,congestive heart failure,D006333,Disease,0
"to date, 23 men with a median age of 50 years and good performance status have entered the trial.",cisplatin,D002945,Chemical,arthralgias,D018771,Disease,0
"the antiepileptic drugs, phenobarbitone and  @CHEMICAL$  are well known to cause cognitive impairment on chronic use.",carbamazepine,D002220,Chemical,impairment of learning and memory,D003072,Disease,0
the patient recovered within 1 week following discontinuation of antianginal therapy.,metoprolol,D008790,Chemical,impairment of ventricular function,D018754,Disease,0
"in vitro, gamma-hch, pentylenetetrazol and picrotoxin were shown to inhibit 3h-tbob binding in mouse whole brain, with ic50 values of 4.",ptz,D010433,Chemical,seizure,D012640,Disease,0
the t (max) was similar between the regimens.,cinacalcet hcl,C476217,Chemical,headache,D006261,Disease,0
"four patients who were rendered comatose or stuporous by drug intoxication, but who were not hypoxic, are described.",nitrazepam,D009567,Chemical,coma,D003128,Disease,0
"with current treatment regimens including combined surgery, radiation and chemotherapy, the average life expectancy of the patients is limited to approximately 1 year.",carboplatin,D016190,Chemical,optic atrophy,D009896,Disease,0
none of them had received cisplatin chemotherapy.,ifosfamide,D007069,Chemical,renal toxicity,D007674,Disease,0
"severe gastric ulcers accompanied with increased ulcerogenic factors, including gastric acid back-diffusion, histamine release, lpo generation and luminal hemoglobin content were also observed in these rats.",vitamin d2,D004872,Chemical,ulcer,D014456,Disease,0
this non-receptor mediated inhibition requires de novo synthesis for restoration of functional gaba catabolism.,gvg,D020888,Chemical,vfd,D005128,Disease,0
a policy of unrestricted prescription of appetite suppressants may lead to a high incidence of associated  @DISEASE$..,fenfluramines,D005277,Chemical,primary pulmonary hypertension,D006976,Disease,0
"electron microscopical immunohistochemistry revealed positive reaction products noted on the secretory granules, golgi cisternae, and endoplasmic reticulum of the untreated rat prolactinoma cells.",estrogen,D004967,Chemical,prolactinomas,D015175,Disease,0
this was an exploratory study to investigate lamivudine-resistant hepatitis b virus (hbv) strains in selected lamivudine-na  ve hbv carriers with and without human immunodeficiency virus (hiv) co-infection in south african patients.,hbsag,D006514,Chemical,hbv infected,D006509,Disease,0
the median age of those patients developing grade 3-4 neutropenia was significantly higher than that of the remaining patients (75 years vs.,vinorelbine,C030852,Chemical,neurotoxicity,D020258,Disease,0
background:  @CHEMICAL$  polacrilex lozenges deliver 25% to 27% more  @CHEMICAL$  compared with equivalent doses of  @CHEMICAL$  polacrilex gum.,nicotine,D009538,Chemical,nausea,D009325,Disease,0
the average duration of treatment before the onset of jaundice was 61 days.,ketoconazole,D007654,Chemical,hepatocellular injury,D056486,Disease,0
"anticonvulsants), and temperament of the patient, assessed during a normothymic period using the hyperthymia component of the semi-structured affective temperament interview.",antidepressant,D000928,Chemical,hypomanic,D001714,Disease,0
none of the sera with negative rast for  @CHEMICAL$  were positive to bpo.,ax,D000658,Chemical,allergic reactions,D004342,Disease,0
repeated trimipramine induces dopamine d2/d3 and alpha1-adrenergic up-regulation.,quinpirole,D019257,Chemical,hyperactivity,D006948,Disease,0
"three of these cases were from the 25 transplantations performed at king fahad national guard hospital, while the other 2 transplantations had been performed abroad and were referred to us for follow-up.",cyclosporine,D016572,Chemical,thrombotic microangiopathy,D057049,Disease,0
organic mental disorder was observed in a 29-year-old female in the prognostic period after the onset of  @CHEMICAL$--induced leukoencephalopathy.,carmofur,C017367,Chemical,organic mental disorder,D019965,Disease,0
we conclude that pentoxyifylline does not inhibit dipyridamole-induced coronary hyperemia even at high doses.,pentoxifylline,D010431,Chemical,intermittent claudication,D007383,Disease,0
serum samples from the first and second days contained 3.,carbamylcholin,D002217,Chemical,asystole,D006323,Disease,0
"results: one hundred sixty-five courses were administered, with a median of 3.",gemcitabine,C056507,Chemical,neutropenia,D009503,Disease,0
a routine laboratory work-up 10 weeks after conversion revealed elevated serum aminotransferase levels.,simvastatin 10 mg-ezetimibe 40 mg,C492458,Chemical,hepatotoxicity,D056486,Disease,0
a total of 167 courses at doses of 15 to 70 mg/m2 were evaluable.,doxorubicin,D004317,Chemical,mucositis,D052016,Disease,0
methods: a double-blind double-armed prospective study comprised 40 patients who had uneventful sutureless phacoemulsification under sub-tenon's local infiltration of 3 ml of plain lignocaine.,methylprednisolone,D008775,Chemical,headache,D006261,Disease,0
the purpose of this report is to describe two cases of a disulfiram-like syndrome following occupational exposure to hydrogen cyanamide.,dormex,D003484,Chemical,dyspnea,D004417,Disease,0
"6%), accounting for half of the cases with motor neuropathy.",riboflavin,D012256,Chemical,peripheral nerve disease,D010523,Disease,0
all patients were on a regular transfusion-chelation program maintaining a mean hemoglobin level of 9.,desferrioxamine,D003676,Chemical,sensorineural hearing loss,D006319,Disease,0
"in a 37-year-old woman with documented  @CHEMICAL$--induced fibrous myopathy of triceps and deltoid muscles bilaterally and a three-week history of right wrist drop, electrodiagnostic examination showed a severe but partial lesion of the right radial nerve distal to the branches to the triceps, in addition to the fibrous myopathy.",pentazocine,D010423,Chemical,compression neuropathy,D009408,Disease,0
"with paclitaxel doses of 200 mg/m2 and higher, granulocyte colony-stimulating factor 5 micrograms/kg/d is given (days 4 through 12).",cisplatin,D002945,Chemical,arthralgias,D018771,Disease,0
"previously recognized side effects, particularly  @DISEASE$  and gastrointestinal problems, were more frequent in the mexiletine group than in the placebo group.",mexitil-perlongets,D008801,Chemical,tremor,D014202,Disease,0
"gastric acid back-diffusion, mucosal lpo generation, histamine concentration, microvascular permeability, luminal hemoglobin content and ulcer areas were determined.",vitamin d2,D004872,Chemical,hemorrhagic,D006471,Disease,0
"the following were measured: spontaneous  @DISEASE$,,  @DISEASE$, evoked by punctate and brush stimuli (vas), and areas of brush-evoked and punctate-evoked hyperalgesia.",capsaicin,D002211,Chemical,pain,D010146,Disease,0
sensori-motor neuropathy was the commonest presentation (50%).,riboflavin,D012256,Chemical,diseases of peripheral nerves,D010523,Disease,0
"fanconi syndrome, as well as myopathy, is well recognized in patients with mitochondrial disorders and caused by depletion of mtdna.",tacrolimus,D016559,Chemical,fanconi syndrome,D005198,Disease,0
this study supports the high frequency of restrictive valve regurgitation in pd patients treated with  @CHEMICAL$  and reveals that a significant improvement is usual when the treatment is converted to non-ergot dopamine agonists.,pergolide,D010479,Chemical,mitral regurgitation,D008944,Disease,0
this age group had an increased risk of myelosuppression.,vnb,C030852,Chemical,neutropenia,D009503,Disease,0
"we then examined the morphology, expression of beclin 1 gene, mitochondrial permeability transition (mpt), and na+-k+ atpase activity in vivo.",adriamycin,D004317,Chemical,heart failure,D006333,Disease,0
we also used microdialysis to measure basal and potassium-stimulated acetylcholine (ach) release in the ca1 region of the hippocampus.,carbachol,D002217,Chemical,convulsion,D012640,Disease,0
method: the response of 44 patients meeting dsm-iv criteria for  @DISEASE$  to naturalistic treatment was assessed for at least 6 weeks using the montgomery-asberg depression rating scale and the bech-rafaelson mania rating scale.,antidepressant,D000928,Chemical,bipolar disorder,D001714,Disease,0
ophthalmologic examinations showed ptosis on the right upper lid and  @DISEASE$  without any other neurological signs.,ribavirin,D012254,Chemical,restricted right eye movement,D015835,Disease,0
"the sudden onset of respiratory distress, rash, and a history of a new medicine led the two paramedics on the scene to administer subcutaneous  @CHEMICAL$..",epinephrine,D004837,Chemical,cardiac arrest,D006323,Disease,0
locomotor activity was measured again for 30 min at the beginning of days 1 and 21 of sugar access.,sucrose,D013395,Chemical,behavioral cross-sensitization,D006948,Disease,0
"dental practitioners also may be skeptical about the reliability of appointment keeping by these patients, as they frequently miss their appointments without reasonable justification.",methamphetamine,D008694,Chemical,caries,D003731,Disease,0
warfarin-induced iliopsoas hemorrhage with subsequent  @DISEASE$..,warfarin,D014859,Chemical,femoral nerve palsy,D020428,Disease,0
the drug was still present in measurable quantities after 24 h even with the smallest dose.,flunitrazepam,D005445,Chemical,pain,D010146,Disease,0
"captopril may, by the same mechanism, reduce the increase in glomerular filtration that is known to occur after an injection of thrombin, thereby diminishing the aggregation of fibrin monomers in the glomeruli, with the result that less fibrin will be deposited and thus less kidney damage will be produced.",amca,D014148,Chemical,intravascular coagulation,D004211,Disease,0
early adjuvant  @CHEMICAL$  in superficial bladder carcinoma.,adriamycin,D004317,Chemical,cystitis,D003556,Disease,0
"what is less well known is a phenomenon whereby statins may induce a myopathy, which persists or may progress after stopping the drug.",statin,D019821,Chemical,necrosis,D009336,Disease,0
"furthermore, the effects are mediated through dopamine rather than  @CHEMICAL$  and do not require the carotid sinus baroreceptors.",norepinephrine,D009638,Chemical,bradycardia,D001919,Disease,0
these findings suggest that nra0160 may have unique antipsychotic activities without the liability of motor side effects typical of classical antipsychotics.,5 - [2- ( 4- ( 3 - fluorobenzylidene) piperidin-1-yl) ethyl] - 4 -(4-fluorophenyl) thiazole-2-carboxamide,C121249,Chemical,catalepsy,D002375,Disease,0
electrocardiographic evidence of myocardial injury in psychiatrically hospitalized  @CHEMICAL$  abusers.,cocaine,D003042,Chemical,bundle branch block,D002037,Disease,0
"evaluation of cardiac troponin i and t levels as markers of myocardial damage in doxorubicin-induced  @DISEASE$  rats, and their relationship with echocardiographic and histological findings.",dox,D004317,Chemical,cardiomyopathy,D009202,Disease,0
objective: to estimate the association between antibacterial medications and selected birth defects.,sulfonamides,D013449,Chemical,choanal atresia,D002754,Disease,0
"serologic testing and immunologic studies were done, and a pericardial biopsy was performed.",propylthio- uracil,D011441,Chemical,glomerulonephritis,D005921,Disease,0
the hematoma was assessed in vivo by magnetic resonance imaging.,fucoidan,C007789,Chemical,hemodilution,D020141,Disease,0
the hbv viral loads for mono-infected and co-infected patients ranged from 3.,hbsag,D006514,Chemical,hepatitis b,D006509,Disease,0
"especially in old patients, intensivists should consider intoxications (with cholinergics) as a cause of acute cardiovascular failure.",carbamylcholin,D002217,Chemical,asystole,D006323,Disease,0
dex increased sbp (110 +/- 2-126 +/- 3 mmhg; p < 0.,dex,D003907,Chemical,hypertension,D006973,Disease,0
"initial cardiopulmonary resuscitation and immediate treatment with adrenaline (epinephrine), atropine and furosemide was successful.",carbachol,D002217,Chemical,hypersalivation,D012798,Disease,0
"of the 12 patients considered for oral ursodeoxycholic acid (udca) treatment, two had a blocked cystic duct and were not started on udca while one was lost to follow up.",octreotide,D015282,Chemical,gall stone disease,D042882,Disease,0
these data were correlated with histologically scored cervical  @DISEASE$  in a separate group of similarly dosed rats sampled 14-21 days post-exposure.,mipafox,C005238,Chemical,cord damage,D013118,Disease,0
"five hours after exposure, he developed disulfiram-like syndrome with flushing,  @DISEASE$,, and arterial hypotension after consuming three glasses of wine.",alcohol,D000431,Chemical,tachycardia,D013610,Disease,0
"in the evening of postoperative day 1, patients were evaluated for  @DISEASE$  by a physician unaware of the drug administered and the details of the anesthetic procedure.",lidocaine,D008012,Chemical,tnss,D009422,Disease,0
"the delta down, which is the measure of decrease of sbp after a mechanical breath, was 20.",snp,D009599,Chemical,hypotension,D007022,Disease,0
pain intensity and pain period were statistically significantly lower for the 30-second injection than for the 10-second injection.,heparin,D006493,Chemical,bruising,D003288,Disease,0
"the antiepileptic drugs,  @CHEMICAL$  and carbamazepine are well known to cause cognitive impairment on chronic use.",phenobarbitone,D010634,Chemical,deterioration of cognitive functions,D003072,Disease,0
objective: the objective of this study was to identify the incidence and to monitor the progression of hearing loss in children and young adults with beta-thalassemia major.,dfo,D003676,Chemical,sensorineural hearing loss,D006319,Disease,0
"conclusions: the rate of contrast-induced  @DISEASE$,, defined by multiple end points, is not statistically different after the intraarterial administration of iopamidol or iodixanol to high-risk patients, with or without diabetes mellitus.",contrast medium,D003287,Chemical,nephropathy,D007674,Disease,0
electrical recordings from the hippocampus showed a rhythmic progression in eeg frequency and voltage with clinical  @DISEASE$  expression.,benzoylecgonine,C005618,Chemical,seizure,D012640,Disease,0
"the aim of the present study was to investigate changes in the plasma calcitonin gene-related peptide (cgrp) concentration and platelet serotonin (5-hydroxytriptamine, 5-ht) content during the immediate headache and the delayed genuine migraine attack provoked by nitroglycerin.",no,D009569,Chemical,migraineurs (without aura),D020326,Disease,0
recurrent seizures were treated with diazepam and broad complex tachycardia was successfully treated with adenosine.,zyban,D016642,Chemical,cardiac arrhythmias,D001145,Disease,0
"the most frequently observed side effect was fecal occult blood (25% of patients); however, there was no other evidence of gastrointestinal (gi) bleeding in these patients.",flurbiprofen,D005480,Chemical,headache,D006261,Disease,0
macrophage-migration inhibition (mif) test with  @CHEMICAL$  was positive.,ampicillin,D000667,Chemical,erythema multiforme,D004892,Disease,0
bradycardia (defined as a decrease in heart rate to less than 50 beat min-1) was prevented when the larger dose of either active drug was used.,suxamethonium,D013390,Chemical,bradycardia,D001919,Disease,0
"other antibacterial agents that showed associations included erythromycins (2 defects), penicillins (1 defect), cephalosporins (1 defect), and quinolones (1 defect).",nitrofurantoins,D009582,Chemical,birth defects,D000014,Disease,0
"male rats that received prenatal  @CHEMICAL$  on days 15 and 16, 17 and 18, and 13 and 14 of gestation had elevated blood pressures at 6 months of age; the latter group did not have a reduction in glomerular number.",dexamethasone,D003907,Chemical,renal injury,D007674,Disease,0
"in conclusion, gene-targeted mice lacking sgk1 showed blunted volume retention, yet were not protected against renal fibrosis during experimental nephrotic syndrome.",doxorubicin,D004317,Chemical,hypoalbuminemia,D034141,Disease,0
the emergence of new active drugs might translate into more effective regimens for the treatment of this disease.,gemcitabine,C056507,Chemical,thrombocytopenia,D013921,Disease,0
therefore the prophylactic use of granulocyte-colony stimulating factor should be considered with this treatment.,vinorelbine,C030852,Chemical,thrombocytopenia,D013921,Disease,0
acute reserpine and subchronic  @CHEMICAL$  treatments change synaptosomal brain glutamate uptake and elicit orofacial dyskinesia in rats.,haloperidol,D006220,Chemical,tardive dyskinesia,D004409,Disease,0
a randomized comparison of  @CHEMICAL$  and nitroprusside for induced hypotension.,labetalol,D007741,Chemical,reductions in mean arterial blood pressure,D007022,Disease,0
"this study assessed the ability of ih636 grape seed proanthocyanidin extract (gspe) to prevent acetaminophen (aap)-induced nephrotoxicity, amiodarone (ami)-induced lung toxicity, and (@CHEMICAL$)orubicin ((@CHEMICAL$))-induced cardiotoxicity in mice.",dox,D004317,Chemical,necrosis,D009336,Disease,0
the incidence of mood switches seemed not to differ between patients receiving an anticonvulsant and those receiving no mood stabilizer.,ssris,D017367,Chemical,bipolar,D001714,Disease,0
"to develop a novel and effective drug that could enhance cognitive function and neuroprotection, we newly synthesized maltolyl p-coumarate by the esterification of maltol and p-coumaric acid.",scopolamine,D012601,Chemical,decline of cognitive function,D003072,Disease,0
heredofamilial and connective tissue disorders were rare.,isoniazid,D007538,Chemical,sensori-motor neuropathy,D010523,Disease,0
the in vitro data suggest that the site responsible for the decrease in seizure activity 24 h after gamma-hch may be the gaba-a receptor-linked chloride channel.,bicuculline,D001640,Chemical,seizures,D012640,Disease,0
"patients and methods: patients with more than 50% decrease in platelet count or thrombocytopenia (<150 x 10(9)/l) after exposure to heparin, who had a positive two-step antigen assay [optical density (od) >0.",heparin,D006493,Chemical,hit,D013921,Disease,0
"in the evening of postoperative day 1, patients were evaluated for tnss by a physician unaware of the drug administered and the details of the anesthetic procedure.",prilocaine,D011318,Chemical,transient neurologic symptoms,D009422,Disease,0
"19%), nx or hp+nx for another 8 weeks.",li,D008094,Chemical,proteinuria,D011507,Disease,0
"treatment was comprised of vnb, 25 mg/m(2), plus gem, 1000 mg/m(2), both on days 1, 8, and 15 every 28 days.",gemcitabine,C056507,Chemical,neutropenia,D009503,Disease,0
glyburide can produce an  @DISEASE$  in some persons.,glyburide,D005905,Chemical,acute hepatitis-like illness,D056486,Disease,0
the purpose of this study was to investigate the influence of calcium channel blockers on  @CHEMICAL$--induced acute toxicity.,bupivacaine,D002045,Chemical,convulsions,D012640,Disease,0
mmp-timp and adam mrnas were semi-quantitatively analyzed and protein expressions were determined by immunohistochemistry.,cacl(2),D002122,Chemical,thoracic aortic aneurysm,D017545,Disease,0
results: forty of 94 hit patients had thrombosis at diagnosis; 54/94 had isolated-hit without thrombosis.,heparin,D006493,Chemical,thrombocytopenia,D013921,Disease,0
the analysed  @CHEMICAL$  concentration exceeded the supposed serum level resulting from a therapeutic dose by a factor of 130 to 260.,carbachol,D002217,Chemical,heart failure,D006333,Disease,0
the purpose of this report is to describe two cases of a disulfiram-like syndrome following occupational exposure to  @CHEMICAL$..,hydrogen cyanamide,D003484,Chemical,dyspnea,D004417,Disease,0
direct comparison between sham and real rtms effects showed no significant difference in clinician-assessed dyskinesia severity.,levodopa,D007980,Chemical,dyskinesias,D004409,Disease,0
"thus, use of fs containing tamca for surgery within or close to the cns may pose a substantial risk to the patient.",tranexamic acid,D014148,Chemical,generalized seizures,D012640,Disease,0
effect of nifedipine on renal function in liver transplant recipients receiving  @CHEMICAL$..,tacrolimus,D016559,Chemical,hypertensive,D006973,Disease,0
"these results suggest that spasm provocation tests, which use an intracoronary injection of a relatively low dose of methylergonovine, have a high sensitivity in variant angina and the vasoreactivity of the right coronary artery may be greater than that of the other coronary arteries.",methylergonovine,D008755,Chemical,coronary spasm,D003329,Disease,0
conclusions: these results suggest that differences in cholinergic activity and postsynaptic sensitivity to cholinergic convulsants may be associated with ethanol withdrawal severity and implicate cholinergic mechanisms in alcohol withdrawal.,nicotine,D009538,Chemical,seizure,D012640,Disease,0
this study was conducted to examine whether prolonged pretreatment with isoproterenol could abolish bromocriptine-induced tachycardia in conscious rats.,domperidone,D004294,Chemical,bradycardia,D001919,Disease,0
"reports of persistent  @DISEASE$  after the discontinuance of these drugs have most often involved aminosteroid-based nmbas such as vecuronium bromide, especially when used in conjunction with corticosteroids.",atracurium,D001279,Chemical,paralysis,D010243,Disease,0
"due to the interdependence of risk factors in clinical populations, it is difficult to independently examine factors that may influence the development of lids.",levodopa,D007980,Chemical,dyskinesias,D004409,Disease,0
ophthalmologic examinations showed ptosis on the right upper lid and  @DISEASE$  without any other neurological signs.,pegylated ifn alpha-2b,C417083,Chemical,restricted right eye movement,D015835,Disease,0
fasciculations in six areas of the body were scored from 0 to 3 and summated as a total fasciculation score.,suxamethonium,D013390,Chemical,fasciculations,D005207,Disease,0
"particular attention should be paid to patients with a hyperthymic temperament, who have a greater risk of mood switches.",serotonin reuptake inhibitors,D017367,Chemical,hypomania,D001714,Disease,0
this cab-induced  @DISEASE$  was normochromic and normocytic.,lhrh-a,D016729,Chemical,anemia,D000740,Disease,0
"co., ansan, korea) in a suicide attempt.",disulfiram,D004221,Chemical,ataxia,D001259,Disease,0
srl was started at a mean of 78 +/- 42 (15 to 163) months after transplantation.,sirolimus,D020123,Chemical,proteinuria,D011507,Disease,0
"in 10 of 11 patients, baep waves ii/iii-v completely disappeared within 2 to 25 min after  @CHEMICAL$..",papaverine,D010208,Chemical,sensorineural hearing loss,D006319,Disease,0
the incidence of cardiotoxicity was not higher in patients with signs of cardiovascular disease than in those without in the pre-treatment evaluation.,5-fu,D005472,Chemical,atrial fibrillation,D001281,Disease,0
determination was repeated in case of abnormal first results.,testosterone,D013739,Chemical,low sexual desire,D020018,Disease,0
